City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
84,Mar Del Plata,AR,82.42,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
91,Tacuarembo,UY,89.42,light rain,-31.7333,-55.9833,Complejo San Fructuoso
100,Trairi,BR,79.72,few clouds,-3.2778,-39.2689,janelas do mar
102,Guanica,PR,81.5,few clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
107,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
115,Imbituba,BR,82.81,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
119,Saint-Philippe,RE,78.39,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
120,Hobyo,SO,76.91,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
123,Tres Lagoas,BR,82.08,overcast clouds,-20.7511,-51.6783,Druds Express Hotel
129,Tamayo,DO,82.11,few clouds,18.3947,-71.2029,Hotel del Valle
143,Trat,TH,81.99,few clouds,12.5,102.5,สวนหนิง-อัศ
145,Karratha,AU,79.93,few clouds,-20.7377,116.8463,ibis Styles Karratha
152,Kailua,US,81.07,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
157,San Cristobal,VE,81.05,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
160,Majene,ID,76.57,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
164,George Town,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
166,Biloela,AU,79.48,scattered clouds,-24.4167,150.5,Biloela Silo Motor Inn
168,Gizo,SB,82.54,light rain,-8.103,156.8419,Imagination Island
170,Batemans Bay,AU,78.98,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
175,Vila Velha,BR,78.94,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
176,Fria,GN,77.22,overcast clouds,10.4167,-13.5833,
177,Georgetown,MY,79.9,scattered clouds,5.4112,100.3354,Cititel Penang
178,Ixtapa,MX,78.22,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
179,Kudahuvadhoo,MV,81.41,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
180,Clarence Town,AU,80.35,overcast clouds,-32.5833,151.7833,River Downs Cottage
184,Fare,PF,79.97,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
185,Atuona,PF,78.67,light rain,-9.8,-139.0333,Villa Enata
189,Gladstone,AU,83.79,scattered clouds,-23.85,151.25,Highpoint International Hotel
200,Obidos,BR,80.51,broken clouds,-1.9175,-55.5181,Hotel Amazônia Center
202,Cabrobo,BR,84.31,overcast clouds,-8.5142,-39.31,Hotel Limarques
206,Grand-Lahou,CI,79.29,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
211,Banda Aceh,ID,76.91,broken clouds,5.5577,95.3222,Sulthan Hotel International
220,Padang,ID,75.25,broken clouds,-0.9492,100.3543,Mercure Padang
230,Kahului,US,81.66,clear sky,20.8947,-156.47,Maui Seaside Hotel
236,Touros,BR,81.07,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
237,East London,ZA,75.07,scattered clouds,-33.0153,27.9116,Tu Casa
240,Cabo San Lucas,MX,84.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
243,Upata,VE,76.19,scattered clouds,8.0086,-62.3989,Posada Villa Nela
247,Minas,UY,82.87,broken clouds,-34.3759,-55.2377,Hotel Minas
260,Luis Correia,BR,79.72,broken clouds,-2.8792,-41.6669,Hotel Amarração
266,Santa Cruz,BO,89.65,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
268,Guamal,CO,86.5,overcast clouds,9.1433,-74.2238,HOSTAL VILLA CASTA
275,Kualakapuas,ID,75.36,overcast clouds,-3.0091,114.3876,Guest House Izonk
276,Pitimbu,BR,80.17,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
278,Auki,SB,82.87,overcast clouds,-8.7676,160.7034,Auki Motel
279,Kavaratti,IN,79.09,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
282,Savannah Bight,HN,78.01,few clouds,16.45,-85.85,Villa on Dunbar Rock
283,Isangel,VU,81.03,clear sky,-19.55,169.2667,Tanna Lodge
286,Faanui,PF,80.58,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
289,Batticaloa,LK,77.18,scattered clouds,7.7102,81.6924,Grand Star Guest House
290,Acapulco,MX,80.67,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
292,Labuhan,ID,78.71,moderate rain,-6.8844,112.2051,DoubleFAG
294,Maragogi,BR,79.21,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
296,Ambilobe,MG,76.77,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
