City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
37,Muisne,EC,0.6,-80.0333,80.71,81,95,10.65,overcast clouds,2022-01-16 21:56:41
38,Cherskiy,RU,68.75,161.3,-35.52,100,12,4.7,few clouds,2022-01-16 21:56:41
39,New Norfolk,AU,-42.7826,147.0587,69.75,59,11,1.99,few clouds,2022-01-16 21:56:41
40,Nuuk,GL,64.1835,-51.7216,16.88,92,100,11.99,overcast clouds,2022-01-16 21:56:41
41,Te Anau,NZ,-45.4167,167.7167,62.42,68,82,1.88,broken clouds,2022-01-16 21:56:42
42,Kapaa,US,22.0752,-159.319,78.78,73,19,3.0,few clouds,2022-01-16 21:56:42
43,Alekseyevsk,RU,57.8406,108.3492,-5.08,93,99,2.62,overcast clouds,2022-01-16 21:56:42
44,Veinticinco De Mayo,AR,-35.4323,-60.1727,83.98,35,38,5.01,scattered clouds,2022-01-16 21:56:43
45,Troitskoye,RU,52.9821,84.6757,35.55,84,100,10.07,overcast clouds,2022-01-16 21:56:43
46,Malaryta,BY,51.7905,24.074,33.21,63,100,17.38,overcast clouds,2022-01-16 21:56:43
47,Hithadhoo,MV,-0.6,73.0833,80.24,74,99,3.04,overcast clouds,2022-01-16 21:57:43
48,Along,IN,28.1667,94.7667,45.27,66,0,2.95,clear sky,2022-01-16 21:57:44
49,Castro,BR,-24.7911,-50.0119,65.57,96,80,4.56,broken clouds,2022-01-16 21:57:44
50,Khatanga,RU,71.9667,102.5,-16.2,92,18,5.77,few clouds,2022-01-16 21:57:44
51,Avarua,CK,-21.2078,-159.775,84.25,79,100,21.85,overcast clouds,2022-01-16 21:54:02
52,Soc Trang,VN,9.6033,105.98,71.56,84,31,10.87,scattered clouds,2022-01-16 21:57:45
53,Sao Filipe,CV,14.8961,-24.4956,71.6,71,0,2.35,clear sky,2022-01-16 21:57:45
54,Saint-Joseph,RE,-21.3667,55.6167,77.38,86,89,2.75,overcast clouds,2022-01-16 21:57:45
55,Zhigansk,RU,66.7697,123.3711,-49.81,100,64,4.29,broken clouds,2022-01-16 21:57:45
56,Erzin,TR,36.9559,36.2,37.92,45,0,5.97,clear sky,2022-01-16 21:57:46
57,Abashiri,JP,44.0213,144.2697,28.53,97,100,5.19,snow,2022-01-16 21:57:46
58,Bethel,US,41.3712,-73.414,29.05,78,100,5.99,overcast clouds,2022-01-16 21:57:46
59,Bambous Virieux,MU,-20.3428,57.7575,78.22,88,75,5.75,broken clouds,2022-01-16 21:57:47
60,Dhidhdhoo,MV,6.8833,73.1,81.0,74,14,5.46,few clouds,2022-01-16 21:57:47
61,Gweta,BW,-20.1833,25.2333,77.95,56,100,8.97,overcast clouds,2022-01-16 21:57:47
62,Atikokan,CA,48.7555,-91.6216,22.37,91,100,7.49,overcast clouds,2022-01-16 21:57:47
63,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,73,0,16.11,clear sky,2022-01-16 21:54:10
64,Nikolskoye,RU,59.7035,30.7861,35.87,98,100,14.63,light snow,2022-01-16 21:57:48
65,Salalah,OM,17.0151,54.0924,72.28,71,81,4.54,broken clouds,2022-01-16 21:57:48
66,Atar,MR,20.5169,-13.0499,71.47,16,100,11.77,overcast clouds,2022-01-16 21:57:49
67,Albany,US,42.6001,-73.9662,22.32,49,79,1.99,broken clouds,2022-01-16 21:57:49
68,Kasur,PK,31.1156,74.4467,46.51,51,100,3.6,overcast clouds,2022-01-16 21:57:49
69,Lata,PT,40.1629,-8.3327,54.81,86,68,3.42,broken clouds,2022-01-16 21:57:49
70,Ambanja,MG,-13.6833,48.45,76.55,91,100,2.57,overcast clouds,2022-01-16 21:57:50
71,Ahipara,NZ,-35.1667,173.1667,72.34,61,1,11.07,clear sky,2022-01-16 21:57:51
72,Jawhar,SO,2.7809,45.5005,74.68,81,94,11.88,overcast clouds,2022-01-16 21:57:51
73,Salcedo,PH,12.8105,121.4674,71.44,84,100,10.11,overcast clouds,2022-01-16 21:57:51
74,Bama,NG,11.5221,13.6856,66.24,26,86,7.14,overcast clouds,2022-01-16 21:57:52
75,Qaanaaq,GL,77.484,-69.3632,-7.47,61,0,8.28,clear sky,2022-01-16 21:57:52
76,Bluff,NZ,-46.6,168.3333,60.26,70,99,8.57,overcast clouds,2022-01-16 21:57:52
77,Gat,IL,31.61,34.7642,47.39,100,87,6.08,overcast clouds,2022-01-16 21:57:53
78,Ormond Beach,US,29.2858,-81.0559,63.28,60,75,17.27,broken clouds,2022-01-16 21:57:53
79,Tiksi,RU,71.6872,128.8694,-24.38,98,38,6.42,scattered clouds,2022-01-16 21:57:53
80,Ushuaia,AR,-54.8,-68.3,40.66,65,75,23.02,broken clouds,2022-01-16 21:57:53
81,Esperance,AU,-33.8667,121.9,60.64,68,59,12.93,broken clouds,2022-01-16 21:57:54
82,Upernavik,GL,72.7868,-56.1549,-17.09,90,3,3.83,clear sky,2022-01-16 21:57:54
83,Hermanus,ZA,-34.4187,19.2345,65.52,90,26,5.39,scattered clouds,2022-01-16 21:57:54
84,Mar Del Plata,AR,-38.0023,-57.5575,82.42,71,40,4.0,light rain,2022-01-16 21:57:55
85,Cognac,FR,45.5,-0.25,32.61,100,100,0.0,fog,2022-01-16 21:57:55
86,Grootfontein,NA,-19.5667,18.1167,63.97,100,91,14.03,overcast clouds,2022-01-16 21:57:55
87,Hovd,MN,48.0056,91.6419,3.15,83,90,1.7,overcast clouds,2022-01-16 21:57:55
88,Saint George,US,37.1041,-113.5841,61.27,35,100,3.0,overcast clouds,2022-01-16 21:57:56
89,Coquimbo,CL,-29.9533,-71.3436,69.53,64,0,10.36,clear sky,2022-01-16 21:57:56
90,Verkhoyansk,RU,67.5447,133.385,-45.08,100,86,1.21,overcast clouds,2022-01-16 21:57:56
91,Tacuarembo,UY,-31.7333,-55.9833,89.42,46,76,12.3,light rain,2022-01-16 21:57:57
92,Qasigiannguit,GL,68.8193,-51.1922,-3.96,77,100,5.14,overcast clouds,2022-01-16 21:57:57
93,Torbay,CA,47.6666,-52.7314,23.29,70,40,25.32,scattered clouds,2022-01-16 21:58:57
94,Klaksvik,FO,62.2266,-6.589,36.52,89,100,13.24,overcast clouds,2022-01-16 21:58:58
95,Vysokogornyy,RU,50.1167,139.15,3.06,98,99,2.64,overcast clouds,2022-01-16 21:58:58
96,Fort Frances,CA,48.5999,-93.4003,25.16,79,100,8.99,overcast clouds,2022-01-16 21:55:08
97,Celestun,MX,20.8667,-90.4,72.0,51,17,14.7,few clouds,2022-01-16 21:58:59
98,Bud,US,39.447,-86.1758,37.42,61,0,7.63,clear sky,2022-01-16 21:58:59
99,Baykit,RU,61.67,96.37,-12.32,100,71,2.89,broken clouds,2022-01-16 21:58:59
100,Trairi,BR,-3.2778,-39.2689,79.72,77,13,9.22,few clouds,2022-01-16 21:54:16
101,Havre-Saint-Pierre,CA,50.2334,-63.5986,15.8,72,75,16.11,broken clouds,2022-01-16 21:58:59
102,Guanica,PR,17.9716,-66.908,81.5,77,22,5.99,few clouds,2022-01-16 21:59:00
103,Hobart,AU,-42.8794,147.3294,70.11,74,20,3.0,few clouds,2022-01-16 21:58:05
104,Trabzon,TR,40.9167,39.8333,32.09,75,75,13.8,broken clouds,2022-01-16 21:59:00
105,Kodiak,US,57.79,-152.4072,29.08,66,51,5.1,broken clouds,2022-01-16 21:59:00
106,Abu Kamal,SY,34.4506,40.9171,40.73,32,73,14.92,broken clouds,2022-01-16 21:59:01
107,Mahebourg,MU,-20.4081,57.7,78.26,88,75,5.75,broken clouds,2022-01-16 21:59:01
108,Port Elizabeth,ZA,-33.918,25.5701,72.1,78,100,16.11,overcast clouds,2022-01-16 21:59:01
109,Qaqortoq,GL,60.7167,-46.0333,39.7,78,100,8.32,overcast clouds,2022-01-16 21:49:33
