City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
193,Kavaratti,IN,2022-01-15 16:22:19,10.5669,72.642,80.22,68,91,9.26
194,Davila,PH,2022-01-15 16:22:19,18.4726,120.5763,72.68,74,21,9.26
195,Khatanga,RU,2022-01-15 16:15:24,71.9667,102.5,-8.59,94,100,6.76
196,Pringsewu,ID,2022-01-15 16:22:19,-5.3582,104.9744,74.91,94,100,1.14
197,Wagar,SD,2022-01-15 16:22:20,16.1525,36.2032,87.35,32,16,7.47
198,Plouzane,FR,2022-01-15 16:22:20,48.3833,-4.6167,48.25,93,100,10.36
199,Souillac,MU,2022-01-15 16:15:28,-20.5167,57.5167,82.78,74,75,6.91
200,Yar-Sale,RU,2022-01-15 16:16:35,66.8333,70.8333,9.25,95,100,11.12
201,San Andres,CO,2022-01-15 16:20:05,12.5847,-81.7006,84.22,61,20,11.5
202,Yatou,CN,2022-01-15 16:22:21,37.15,122.3833,30.24,58,15,16.71
203,Raton,US,2022-01-15 16:22:21,36.9034,-104.4391,38.64,54,0,3.44
204,Mar Del Plata,AR,2022-01-15 16:22:21,-38.0023,-57.5575,81.0,74,0,8.99
205,Shinyanga,TZ,2022-01-15 16:22:22,-3.6667,33.4333,75.11,62,69,3.91
206,Nanortalik,GL,2022-01-15 16:22:22,60.1432,-45.2371,26.11,92,100,12.68
207,Acapulco,MX,2022-01-15 16:16:36,16.8634,-99.8901,78.62,69,100,0.0
208,Avera,US,2022-01-15 16:22:22,33.194,-82.5271,48.38,67,100,7.27
209,Mitu,CO,2022-01-15 16:22:23,1.1983,-70.1733,84.58,64,93,3.29
210,Salme,NP,2022-01-15 16:22:23,28.0369,85.0942,44.89,44,0,6.71
211,Antofagasta,CL,2022-01-15 16:22:23,-23.65,-70.4,75.22,61,50,8.46
212,Touros,BR,2022-01-15 16:22:24,-5.1989,-35.4608,81.5,57,40,11.65
213,Mogadishu,SO,2022-01-15 16:18:46,2.0371,45.3438,78.62,78,60,19.53
214,Hasaki,JP,2022-01-15 16:22:24,35.7333,140.8333,30.6,56,100,3.31
215,Sao Joao Da Barra,BR,2022-01-15 16:22:24,-21.6403,-41.0511,84.29,75,65,5.99
216,Tigil,RU,2022-01-15 16:22:25,57.8,158.6667,-10.41,99,28,1.9
217,Aquiraz,BR,2022-01-15 16:22:25,-3.9014,-38.3911,84.22,91,70,9.51
218,Haines Junction,CA,2022-01-15 16:22:25,60.7522,-137.5108,22.95,93,100,1.14
219,Arman,RU,2022-01-15 16:22:26,59.7,150.1667,-4.86,80,0,9.62
220,Abatskoye,RU,2022-01-15 16:22:26,56.2875,70.4555,10.53,93,80,10.49
221,Marawi,PH,2022-01-15 16:22:26,7.9986,124.2928,66.65,98,100,2.68
222,Sitka,US,2022-01-15 16:22:27,57.0531,-135.33,39.09,93,100,6.91
223,Tripoli,LY,2022-01-15 16:22:27,32.8752,13.1875,56.23,62,85,13.44
224,Vila Velha,BR,2022-01-15 16:21:27,-20.3297,-40.2925,85.95,58,20,10.36
225,Aleksandrovka,UA,2022-01-15 16:22:27,46.8383,32.7612,35.06,68,78,16.87
226,Sorland,NO,2022-01-15 16:16:38,67.667,12.6934,39.27,88,100,33.49
227,Rawson,AR,2022-01-15 16:22:28,-43.3002,-65.1023,78.42,29,1,3.71
228,Pustoshka,RU,2022-01-15 16:22:28,56.3355,29.369,29.01,90,93,10.16
229,Gap,FR,2022-01-15 16:22:29,44.6667,6.0,28.06,77,7,4.23
230,Silale,LT,2022-01-15 16:22:29,55.4906,22.1814,31.48,81,19,8.16
231,Cap Malheureux,MU,2022-01-15 16:22:29,-19.9842,57.6142,82.89,83,98,1.99
232,Kreminna,UA,2022-01-15 16:22:29,49.0495,38.2179,30.0,88,100,14.25
233,Roma,US,2022-01-15 16:23:30,43.2128,-75.4557,2.08,61,54,3.0
234,Lagoa,PT,2022-01-15 16:23:30,39.05,-27.9833,55.29,64,100,25.46
235,Bethel,US,2022-01-15 16:23:30,41.3712,-73.414,15.49,54,0,4.0
236,Usinsk,RU,2022-01-15 16:23:31,65.9939,57.5281,0.82,97,86,9.35
237,Kodiak,US,2022-01-15 16:16:30,57.79,-152.4072,35.11,80,75,4.61
238,Sao Felix Do Xingu,BR,2022-01-15 16:23:31,-6.6447,-51.995,80.85,83,87,3.65
239,Mont-Dore,NC,2022-01-15 16:23:32,-22.2833,166.5833,69.78,80,1,5.48
240,Baykit,RU,2022-01-15 16:23:32,61.67,96.37,-9.45,100,99,1.74
241,Ellensburg,US,2022-01-15 16:22:18,46.9965,-120.5479,34.48,94,100,3.44
242,Vondrozo,MG,2022-01-15 16:23:32,-22.8167,47.2833,68.31,98,100,3.49
243,Paamiut,GL,2022-01-15 16:23:33,61.994,-49.6678,23.27,79,100,13.4
244,Sampit,ID,2022-01-15 16:23:33,-2.5333,112.95,74.89,95,100,0.96
245,Cabo San Lucas,MX,2022-01-15 16:15:56,22.8909,-109.9124,77.61,58,0,0.0
246,Bluff,NZ,2022-01-15 16:16:38,-46.6,168.3333,54.81,86,34,4.61
247,Fort Nelson,CA,2022-01-15 16:23:33,58.8053,-122.7002,15.39,92,100,0.0
248,Kambove,CD,2022-01-15 16:23:34,-10.8764,26.5969,66.92,93,82,3.67
249,Klyuchi,RU,2022-01-15 16:23:34,52.2667,79.1667,19.47,78,5,16.55
250,Ketchikan,US,2022-01-15 16:23:34,55.3422,-131.6461,42.78,87,100,9.22
251,Yambio,SS,2022-01-15 16:23:34,4.5721,28.3955,86.61,38,95,2.91
252,Manjacaze,MZ,2022-01-15 16:23:35,-24.7117,33.8828,78.91,62,0,9.37
253,Uribia,CO,2022-01-15 16:23:35,11.7139,-72.266,87.08,48,36,14.25
254,Tiznit,MA,2022-01-15 16:23:36,29.5833,-9.5,64.38,22,1,6.6
255,Leh,IN,2022-01-15 16:19:12,34.1667,77.5833,-5.31,64,37,4.5
256,Veraval,IN,2022-01-15 16:23:36,20.9,70.3667,70.21,55,21,4.79
257,Mayo,US,2022-01-15 16:23:36,38.8876,-76.5119,26.35,43,0,8.01
258,Sur,OM,2022-01-15 16:23:37,22.5667,59.5289,71.04,61,0,12.48
259,Bilma,NE,2022-01-15 16:23:37,18.6853,12.9164,71.62,17,2,13.22
260,Alvik,SE,2022-01-15 16:23:37,60.7477,14.8746,31.73,78,100,8.34
261,Ondjiva,AO,2022-01-15 16:23:37,-17.0667,15.7333,76.64,16,100,9.6
262,Jalu,LY,2022-01-15 16:23:38,29.0331,21.5482,57.13,48,31,9.8
263,Hearst,CA,2022-01-15 16:23:38,49.6835,-83.6665,-10.95,79,79,7.34
264,Kushiro,JP,2022-01-15 16:23:38,42.975,144.3747,24.08,81,12,5.86
265,Staritsa,RU,2022-01-15 16:19:20,56.5075,34.9354,24.76,86,100,13.09
266,Verkhnetulomskiy,RU,2022-01-15 16:23:39,68.6073,31.7962,14.13,100,65,4.23
267,Vorontsovka,RU,2022-01-15 16:23:39,50.6132,40.3549,26.83,92,99,14.56
268,Cabedelo,BR,2022-01-15 16:23:39,-6.9811,-34.8339,75.87,77,100,11.61
269,Tabor,CZ,2022-01-15 16:23:40,49.4144,14.6578,34.68,94,14,1.68
270,Sussex,US,2022-01-15 16:23:40,41.1834,-74.6663,17.08,44,0,6.91
271,Coxim,BR,2022-01-15 16:23:40,-18.5067,-54.76,90.37,52,84,6.82
272,Iqaluit,CA,2022-01-15 16:23:41,63.7506,-68.5145,-25.31,60,0,8.01
273,Codrington,AU,2022-01-15 16:23:41,-38.2667,141.9667,55.69,94,16,4.59
274,Valparaiso,CL,2022-01-15 16:20:16,-33.0393,-71.6273,71.24,67,75,8.05
275,Sile,TR,2022-01-15 16:23:41,41.1754,29.6133,45.57,46,13,1.99
276,Nelson Bay,AU,2022-01-15 16:23:42,-32.7167,152.15,70.09,95,8,5.53
277,Mehamn,NO,2022-01-15 16:24:42,71.0357,27.8492,22.95,74,40,21.85
278,Jinka,ET,2022-01-15 16:24:42,5.65,36.65,74.19,43,99,1.88
279,Palmerston,AU,2022-01-15 16:21:35,-12.486,130.9833,82.38,89,40,6.91
280,Olinda,BR,2022-01-15 16:24:43,-8.0089,-34.8553,76.73,88,75,8.05
281,San Jose De Sisa,PE,2022-01-15 16:24:43,-6.6167,-76.6915,75.92,97,100,1.01
282,San Cristobal,VE,2022-01-15 16:20:07,7.7669,-72.225,71.78,38,67,8.43
283,Grand Gaube,MU,2022-01-15 16:24:43,-20.0064,57.6608,82.8,83,99,10.2
284,Lakes Entrance,AU,2022-01-15 16:24:44,-37.8811,147.981,66.58,91,5,4.92
285,Bowen,AU,2022-01-15 16:24:44,-20.0167,148.2333,73.62,74,3,8.19
286,Rumonge,BI,2022-01-15 16:24:44,-3.9736,29.4386,74.52,79,97,1.48
